part_number,name,category,bom_category,brand,unit,purchase_price,purchase_currency,kg_per_metre,is_enclosure_cubicle,is_placeholder,source_file,flags
WX12N4PEDOA (S),WM2 ACB 1250A 4P EDO WITH MIRCROPRO4.1 RELAY,ACB,switchgear,C&S,pcs,1250,EUR,,no,no,component-C&S.csv,
WX16N4PEDOA (S),WM2 ACB 1600A 4P EDO WITH MIRCROPRO4.1 RELAY,ACB,switchgear,C&S,pcs,1342,EUR,,no,no,component-C&S.csv,
WX20N3PEDOA (S),WM2 ACB 2000A 3P EDO WITH MIRCROPRO4.1 RELAY,ACB,switchgear,C&S,pcs,1500,EUR,,no,no,component-C&S.csv,
WX20N3PMFA (S),WM2 ACB 2000A 3P MF WITH MIRCROPRO4.1 RELAY,ACB,switchgear,C&S,pcs,936.5,EUR,,no,no,component-C&S.csv,
WX20N4PEDOA (S),WM2 ACB 2000A 4P EDO WITH MIRCROPRO4.1 RELAY,ACB,switchgear,C&S,pcs,1750,EUR,,no,no,component-C&S.csv,
WX332H3P2MFA (S),3200A 3P MF WITH MIRCROPRO4.1 RELAY WM3 ACB,ACB,switchgear,C&S,pcs,1566,EUR,,no,no,component-C&S.csv,
WX332H4P2EDOB (S),3200A 4P EDO WITH MIRCROPRO4.1 RELAY WM3 ACB,ACB,switchgear,C&S,pcs,3758,EUR,,no,no,component-C&S.csv,
3WJ1108-2AE02-1AD0,800A 3P FIXED MANUAL ACB,ACB,switchgear,SIEMENS,pcs,857.81,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE02-4AD0,800A 3P FIXED MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,935.36,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE12-1AD0,800A 4P FIXED MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1149.01,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE12-4AD0,800A 4P FIXED MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1226.56,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE12-4DD0-Z F40+S55+T40,800A 4P WITHDRAWABLE MOTORIZED ACB-WITH ACCESORIES,ACB,switchgear,SIEMENS,pcs,1398.72,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE32-1AD0,800A 3P WITHDRAWABLE MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1048.21,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE32-4AD0,800A 3P WITHDRAWABLE MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1125.76,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE42-1AD0,800A 4P WITHDRAWABLE MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1472.21,EUR,,no,no,component-catalog-ALL.csv,
3WJ1108-2AE42-4AD0,800A 4P WITHDRAWABLE MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1549.76,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE02-1AD0,1000A 3P FIXED MANUAL ACB,ACB,switchgear,SIEMENS,pcs,963.41,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE02-4AD0,1000A 3P FIXED MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1040.96,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE12-1AD0,1000A 4P FIXED MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1291.41,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE12-4AD0,1000A 4P FIXED MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1368.96,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE32-1AD0,1000A 3P WITHDRAWABLE MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1134.61,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE32-4AD0,1000A 3P WITHDRAWABLE MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1212.16,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE42-1AD0,1000A 4P WITHDRAWABLE MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1574.61,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE42-4AD0,1000A 4P WITHDRAWABLE MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1652.16,EUR,,no,no,component-catalog-ALL.csv,
3WJ1110-2AE42-4DD0-Z F40+R55+T40,1000A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,switchgear,SIEMENS,pcs,1985.92,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE02-1AD0,1250A 3P FIXED MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1041.81,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE02-4AD0,1250A 3P FIXED MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1119.36,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE12-1AD0,1250A 4P FIXED MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1349.01,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE12-4AD0,1250A 4P FIXED MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1426.56,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE32-1AD0,1250A 3P WITHDRAWABLE MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1241.81,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE32-4AD0,1250A 3P WITHDRAWABLE MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1319.36,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE42-1AD0,1250A 4P WITHDRAWABLE MANUAL ACB,ACB,switchgear,SIEMENS,pcs,1736.21,EUR,,no,no,component-catalog-ALL.csv,
3WJ1112-2AE42-4AD0,1250A 4P WITHDRAWABLE MOTORIZED ACB,ACB,switchgear,SIEMENS,pcs,1813.76,EUR,,no,no,component-catalog-ALL.csv,
